Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs
1701,T10316,1187187-10-5,CCCCOC(=O)c1ccc(Oc2ccc3c(c2)COB3O)nc1,C17H18BNO5,327.15,2.05,77.88,1,6,6,2,3,0.294,24,0,0,none,0.9564,1.0,0.9738,T10316
1702,T24580,71727-40-7,COc1ccc(-c2[nH]c(=O)[nH]c2-c2ccc(OC)cc2)cc1,C17H16N2O3,296.33,3.05,67.11,2,3,4,3,3,0.118,22,0,0,none,1.0,0.9342,0.9737,T24580
1703,T15944,394237-61-7,COc1ccc(-c2c(-c3ccc(O)cc3O)n[nH]c2C)cc1,C17H16N2O3,296.33,3.47,78.37,3,4,3,3,3,0.118,22,0,0,none,1.0,0.9342,0.9737,T15944
1704,T15371,1020412-43-4,CCNCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,C17H23N5O,313.41,2.05,88.99,3,5,5,3,3,0.412,23,0,0,none,0.9561,1.0,0.9737,T15371
1705,T6325,950762-95-5,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,C17H16N2O3,296.33,2.82,63.49,2,3,4,3,3,0.118,22,0,0,none,1.0,0.9342,0.9737,T6325
1706,T4279,101973-77-7,CC(=O)SCC(CC(=O)c1ccc(C)cc1)C(=O)O,C14H16O4S,280.34,2.55,71.44,1,4,6,1,1,0.357,19,0,0,none,1.0,0.9342,0.9737,T4279
1707,T50025,53808-88-1,O=C(O)Cc1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1,C17H13ClN2O2,312.76,3.82,55.12,1,2,4,3,3,0.059,22,1,0,none,0.9776,0.9677,0.9736,T50025
1708,T39733,2241232-43-7,Cn1nccc1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(F)c(F)c2)c(F)c1,C22H21F3N4O,414.43,3.38,58.95,2,3,4,3,4,0.273,30,3,0,none,1.0,0.9339,0.9736,T39733
1709,TD0103,477-73-6,Cc1cc2nc3cc(C)c(N)cc3[n+](-c3ccccc3)c2cc1N,C20H19N4+,315.4,3.45,68.81,2,3,1,4,4,0.1,24,0,0,none,0.9664,0.9843,0.9736,TD0103
1710,T2679,582315-72-8,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,C18H17F2N3O2,345.35,3.95,67.87,1,4,6,3,3,0.278,25,2,0,none,0.9559,1.0,0.9735,T2679
1711,T3663,491833-29-5,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,C23H36N2O4,404.55,3.43,71.03,2,5,11,1,3,0.696,29,0,0,none,0.9558,1.0,0.9735,T11176;T3663
1712,T10089,205187-35-5,CC(Oc1ccc2c(c1)Oc1ccccc1S2(=O)=O)C(F)(F)F,C15H11F3O4S,344.31,3.95,52.6,0,4,2,2,3,0.2,23,3,0,none,0.9558,1.0,0.9735,T10089
1713,TN2250,487-35-4,COc1cc(C2OCC3C(c4cc(OC)c(O)c(OC)c4)OCC23)cc(OC)c1O,C22H26O8,418.44,3.21,95.84,2,8,6,2,4,0.455,30,0,0,none,0.9892,0.9499,0.9735,TN2250
1714,TJS0487,6216-81-5,COc1cc([C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2cc(OC)c(O)c(OC)c2)cc(OC)c1O,C22H26O8,418.44,3.21,95.84,2,8,6,2,4,0.455,30,0,0,none,0.9892,0.9499,0.9735,TJS0487
1715,T30248,579494-66-9,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OCC)c1,C19H29NO5,351.44,2.83,65.07,0,5,11,1,1,0.579,25,0,0,none,0.9558,1.0,0.9735,T30248
1716,T6955,34183-22-7,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,C21H27NO3,341.45,3.24,58.56,2,4,11,2,2,0.381,25,0,0,none,0.9558,1.0,0.9735,T0866;T6955
1717,T13403,84638-81-3,COC(=O)c1cc2c(C(O)CNC(C)(C)C)ccc(O)c2[nH]1,C16H22N2O4,306.36,2.08,94.58,4,5,4,2,2,0.438,22,0,0,none,0.9556,1.0,0.9734,T13403
1718,T5389,139290-65-6,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,C22H28FNO3,373.47,3.83,41.93,1,4,7,2,3,0.455,27,1,0,none,0.9557,1.0,0.9734,T5389
1719,T8954,1883548-87-5,O=c1cc(N2CCN(c3cccc(C(F)(F)F)c3)CC2)[nH]c(=O)n1C1CCCCC1,C21H25F3N4O2,422.45,3.39,61.34,1,4,3,2,4,0.524,30,3,0,none,1.0,0.9334,0.9734,T8954
1720,T22359,175673-57-1,COc1cccc([C@@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,C22H28FNO3,373.47,3.83,41.93,1,4,7,2,3,0.455,27,1,0,none,0.9557,1.0,0.9734,T22359
1721,T19659,4725-51-3,C[C@@]12CCC[C@H]1[C@@H]1C[C@@H](O)[C@@]3(O)C[C@@H](O)CC[C@]3(C)[C@H]1CC2,C19H32O3,308.46,2.87,60.69,3,3,0,0,4,1.0,22,0,0,none,0.9555,1.0,0.9733,T19659
1722,TN2027,548-30-1,Cn1c(=O)c2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,C20H13NO5,347.33,3.3,58.92,0,5,0,4,6,0.15,26,0,0,none,0.9555,1.0,0.9733,TN2027
1723,T83974,145364-90-5,COc1cccc(CNCC(O)COc2ccc3[nH]c(=O)ccc3c2)c1,C20H22N2O4,354.41,2.07,83.58,3,5,8,3,3,0.25,26,0,0,none,0.9555,1.0,0.9733,T33806;T83974
1724,T5451,861249-59-4,COc1cccc(-c2cnc3c(-c4cccnc4)cnn3c2N)c1,C18H15N5O,317.35,3.05,78.33,1,5,3,4,4,0.056,24,0,0,none,0.9705,0.9776,0.9733,T5451
1725,T84225,49644-04-4,C[C@]12CC[C@H](O)C[C@@H]1[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C19H32O3,308.46,2.72,60.69,3,3,0,0,4,1.0,22,0,0,none,0.9555,1.0,0.9733,T84225
1726,T21970,743456-83-9,O=C(O)c1ccccc1OCc1ccccc1Br,C14H11BrO3,307.14,3.73,46.53,1,2,4,2,2,0.071,18,1,0,none,0.9848,0.9561,0.9733,T21970
1727,T21981,880487-62-7,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,C18H15N5O,317.35,3.16,75.6,2,4,3,4,4,0.056,24,0,0,none,0.9705,0.9776,0.9733,T21981
1728,TN1049,77573-43-4,CC1=C[C@]23C(=O)[C@@H](C=C4COC(C)(C)O[C@H]4C2(O)[C@H]1O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,C23H32O5,388.5,2.61,75.99,2,5,0,0,5,0.783,28,0,0,none,0.9555,1.0,0.9733,TN1049
1729,T8971,151271-08-8,NC(=O)c1ncn2c1CN=C(c1ccccc1Br)c1cc(F)ccc1-2,C18H12BrFN4O,399.22,3.22,73.27,1,3,2,3,4,0.056,25,2,0,none,1.0,0.9332,0.9733,T8971
1730,T64362,2455427-91-3,O=c1ccccn1-c1ccc(N[C@H]2CC[C@H](Nc3ncc(OC(F)F)cn3)C2)nc1,C20H20F2N6O2,414.42,3.07,93.96,2,7,7,3,4,0.3,30,2,0,none,0.995,0.9408,0.9733,T64362
