Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs,Nearest_Reference,Ref_Target,Ref_Mechanism,Ref_Tanimoto,Chemotype,Chemotype_Target,Chemotype_Mechanism,Chemotype_Weight,S_mech,Murcko_Scaffold,S_nomination
219,T3S1955,78287-27-1,CCc1c2c(nc3ccccc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,C22H20N2O4,376.41,2.64,81.42,1,5,2,3,5,0.318,28,0,0,none,1.0,1.0,1.0,T3S1955,Telmisartan,PPAR-gamma partial / AT1R,AT1 受体拮抗兼 PPAR-gamma 部分激动，文献报道减轻肝细胞脂肪变,0.172,无明确优势骨架命中,,,0.0,0.1717,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,0.5858
220,T3S1457,16176-68-4,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(O)c3c[n+]1CC2,C20H20NO4+,338.38,3.08,51.8,1,4,3,3,4,0.25,25,0,0,none,1.0,1.0,1.0,T3S1457,Berberine,AMPK / PCSK9 / LDLR,原小檗碱型生物碱，激活 AMPK 并稳定 LDLR mRNA，HepG2 经典降脂阳性对照,0.582,原小檗碱型季铵异喹啉生物碱,AMPK / LDLR,小檗碱型生物碱抑制线粒体复合物I 激活 AMPK，并经 ERK 通路稳定 LDLR mRNA，为 HepG2 脂质蓄积模型的经典降脂阳性对照化学型,0.8,0.91,c1ccc2c(c1)CC[n+]1cc3ccccc3cc1-2,0.955
221,T28824,1073969-18-2,Cc1cn(-c2cc(F)c(C(N)=O)c(N[C@H]3CCOC3)c2)c2c1C(=O)CC(C)(C)C2,C22H26FN3O3,399.47,3.38,86.35,2,4,4,2,4,0.455,29,1,0,none,1.0,1.0,1.0,T28824,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.188,无明确优势骨架命中,,,0.0,0.1881,O=C1CCCc2c1ccn2-c1cccc(NC2CCOC2)c1,0.594
222,T12269,1060524-97-1,CCCn1nc(C(=O)N2CCCCC2)c2c1CCC(NCCc1ccncc1)C2,C23H33N5O,395.55,3.0,63.05,1,4,7,2,4,0.609,29,0,0,none,1.0,1.0,1.0,T12269,Ervogastat (PF-06865571),DGAT2,口服 DGAT2 抑制剂，降低肝内甘油三酯合成与 VLDL 分泌,0.205,哌嗪/哌啶杂芳基甲酰胺,SCD1 / DGAT2,脂质酶抑制剂常见的环胺-酰胺连接模式，倾向作用于 SCD1/DGAT2 等内质网膜结合型脂质合成酶,0.55,0.452,O=C(c1n[nH]c2c1CC(NCCc1ccncc1)CC2)N1CCCCC1,0.726
223,T10032,134729-13-8,CS(=O)(=O)c1ccc(-c2cc(C#N)nn2-c2ccc(F)cc2)cc1,C17H12FN3O2S,341.37,2.95,75.75,0,4,3,3,3,0.059,24,1,0,none,1.0,1.0,1.0,T10032,Rosuvastatin,HMGCR,亲水性强效 HMGCR 抑制剂，肝选择性摄取(OATP1B1),0.195,无明确优势骨架命中,,,0.0,0.1951,c1ccc(-c2ccnn2-c2ccccc2)cc1,0.5976
224,T23000,1382481-79-9,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@@H](CO)C3)cc2)cc1,C22H23NO3,349.43,2.94,49.77,1,3,3,2,3,0.318,26,0,0,none,1.0,1.0,1.0,T23000,PF-06424439 (DGAT2i),DGAT2,二酰甘油酰基转移酶2 抑制剂，直接阻断甘油三酯酯化终末步骤,0.211,哌嗪/哌啶杂芳基甲酰胺,SCD1 / DGAT2,脂质酶抑制剂常见的环胺-酰胺连接模式，倾向作用于 SCD1/DGAT2 等内质网膜结合型脂质合成酶,0.55,0.4588,O=C(c1ccc(C#Cc2ccccc2)cc1)N1CCCCC1,0.7294
225,TQ0271,196612-93-8,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,C18H19ClFN7,387.85,3.46,78.86,2,7,4,3,4,0.333,27,2,0,none,1.0,1.0,1.0,TQ0271,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.165,无明确优势骨架命中,,,0.0,0.1649,c1ccc(Nc2ncnc3cnc(NC4CCNCC4)nc23)cc1,0.5824
226,T9055,2055101-86-3,O=C(CNc1ccc(Cl)cn1)NCCc1cccc(Br)c1,C15H15BrClN3O,368.66,3.27,54.02,2,3,6,2,2,0.2,21,2,0,none,1.0,1.0,1.0,T9055,Bezafibrate,PPAR pan,泛 PPAR 弱激动剂，降低血浆与肝内甘油三酯,0.265,无明确优势骨架命中,,,0.0,0.2647,O=C(CNc1ccccn1)NCCc1ccccc1,0.6324
227,T9106,1031195-19-3,CC(=O)N1CCN(C(=O)c2cc(-c3ccc(C)o3)nc3ccccc23)CC1,C21H21N3O3,363.42,3.11,66.65,0,4,2,3,4,0.286,27,0,0,none,1.0,1.0,1.0,T9106,Telmisartan,PPAR-gamma partial / AT1R,AT1 受体拮抗兼 PPAR-gamma 部分激动，文献报道减轻肝细胞脂肪变,0.205,哌嗪/哌啶杂芳基甲酰胺,SCD1 / DGAT2,脂质酶抑制剂常见的环胺-酰胺连接模式，倾向作用于 SCD1/DGAT2 等内质网膜结合型脂质合成酶,0.55,0.452,O=C(c1cc(-c2ccco2)nc2ccccc12)N1CCNCC1,0.726
228,T14521,2226507-04-4,c1cc(-c2c[nH]c3nccc(N4CCC[C@@]5(CCCCN5)C4)c23)ncn1,C20H24N6,348.45,3.13,69.73,2,5,2,3,5,0.45,26,0,0,none,1.0,1.0,1.0,T14521,Ervogastat (PF-06865571),DGAT2,口服 DGAT2 抑制剂，降低肝内甘油三酯合成与 VLDL 分泌,0.163,无明确优势骨架命中,,,0.0,0.1628,c1cc(-c2c[nH]c3nccc(N4CCCC5(CCCCN5)C4)c23)ncn1,0.5814
