Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs,Nearest_Reference,Ref_Target,Ref_Mechanism,Ref_Tanimoto,Chemotype,Chemotype_Target,Chemotype_Mechanism,Chemotype_Weight,S_mech,Murcko_Scaffold,S_nomination
1425,T21352,18910-65-1,COc1ccc(CC(C)NCC(O)c2ccc(O)c(CO)c2)cc1,C19H25NO4,331.41,2.15,81.95,4,5,8,2,2,0.368,24,0,0,none,0.9688,1.0,0.9813,T21352,Bezafibrate,PPAR pan,泛 PPAR 弱激动剂，降低血浆与肝内甘油三酯,0.181,无明确优势骨架命中,,,0.0,0.1806,c1ccc(CCNCCc2ccccc2)cc1,0.581
1426,T27278,98123-83-2,O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3C2C1,C20H26N2O2,326.44,2.93,40.62,0,2,1,1,4,0.6,24,0,0,none,0.9688,1.0,0.9813,T27278,Ervogastat (PF-06865571),DGAT2,口服 DGAT2 抑制剂，降低肝内甘油三酯合成与 VLDL 分泌,0.179,无明确优势骨架命中,,,0.0,0.1795,O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3C2C1,0.5804
1427,T4658,1104874-94-3,CCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)OC,C16H23NO4,293.36,2.17,75.63,2,4,8,1,1,0.5,21,0,0,none,0.9725,0.9946,0.9813,T4658,Orlistat,Lipase / FASN-TE,beta-内酯共价抑制脂肪酶及 FASN 硫酯酶结构域,0.23,无明确优势骨架命中,,,0.0,0.2297,c1ccccc1,0.6055
1428,T2643,1271738-59-0,CC(C)c1cc2c(N3CCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,C18H25N5S2,375.57,3.82,44.62,0,7,2,2,4,0.611,25,0,0,none,0.9686,1.0,0.9812,T2643,PF-06424439 (DGAT2i),DGAT2,二酰甘油酰基转移酶2 抑制剂，直接阻断甘油三酯酯化终末步骤,0.132,无明确优势骨架命中,,,0.0,0.1316,c1nc(N2CCN(C3=NCCS3)CC2)c2ccsc2n1,0.5564
1429,T77672,850019-35-1,NC(=O)c1ccsc1NC(=O)COC(=O)Cc1c(Cl)cccc1Cl,C15H12Cl2N2O4S,387.24,2.88,98.49,2,5,6,2,2,0.133,24,2,0,none,0.9776,0.9863,0.9811,T77672,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.179,无明确优势骨架命中,,,0.0,0.1795,O=C(COC(=O)Cc1ccccc1)Nc1cccs1,0.5803
1430,T19029,298-93-1,Cc1nc(-n2nc(-c3ccccc3)n[n+]2-c2ccccc2)sc1C,C18H16N5S+,334.43,3.28,47.48,0,4,3,4,4,0.111,24,0,0,none,0.9685,1.0,0.9811,T19029,Telmisartan,PPAR-gamma partial / AT1R,AT1 受体拮抗兼 PPAR-gamma 部分激动，文献报道减轻肝细胞脂肪变,0.155,无明确优势骨架命中,,,0.0,0.1548,c1ccc(-c2nn(-c3nccs3)[n+](-c3ccccc3)n2)cc1,0.568
1431,T9014,1259484-97-3,COc1ccc(-c2cc(C(=O)N/N=C(\C)c3ccc(OC)c(OC)c3)[nH]n2)cc1,C21H22N4O4,394.43,3.26,97.83,2,6,7,3,3,0.19,29,0,0,none,0.9809,0.9814,0.9811,T9014,Bezafibrate,PPAR pan,泛 PPAR 弱激动剂，降低血浆与肝内甘油三酯,0.187,无明确优势骨架命中,,,0.0,0.1867,O=C(NN=Cc1ccccc1)c1cc(-c2ccccc2)n[nH]1,0.5839
1432,T6117,905854-02-6,O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12,C23H19N3O2,369.42,3.59,66.89,2,2,2,4,6,0.217,28,0,0,none,0.9686,1.0,0.9811,T6117,ACC inhibitor chemotype (firsocostat-like proxy),ACC1/ACC2,变构抑制乙酰辅酶A羧化酶，降低丙二酰辅酶A、阻断新发脂质合成(DNL)并解除 CPT1 抑制,0.141,无明确优势骨架命中,,,0.0,0.1412,O=C1NC(=O)C(c2cn3c4c(cccc24)CCC3)C1c1c[nH]c2ccccc12,0.5612
1433,T8308,188532-26-5,CC(C)(C)c1cc(CC2SC(=O)NC2=O)cc(C(C)(C)C)c1O,C18H25NO3S,335.47,3.88,66.4,2,4,2,1,2,0.556,23,0,0,none,0.9684,1.0,0.9811,T8308,Pioglitazone,PPAR-gamma,噻唑烷二酮胰岛素增敏剂，促进脂肪组织脂质再分布、降低肝细胞脂毒性,0.386,"噻唑烷-2,4-二酮 (TZD)",PPAR-gamma,TZD 酸性头基占据 PPAR-gamma 配体口袋 AF-2 螺旋，改善胰岛素敏感性、促进脂质向脂肪组织再分布，减轻肝细胞脂毒性,0.92,0.8,O=C1NC(=O)C(Cc2ccccc2)S1,0.8906
1434,T10871,1215721-40-6,Clc1cccc(COc2cncc(N3CCNCC3)n2)c1,C15H17ClN4O,304.78,2.12,50.28,1,5,4,2,3,0.333,21,1,0,none,0.9684,1.0,0.9811,T10871,Trimetazidine,3-KAT (长链硫解酶),部分脂肪酸氧化抑制剂，代谢调节剂,0.21,无明确优势骨架命中,,,0.0,0.2097,c1ccc(COc2cncc(N3CCNCC3)n2)cc1,0.5954
1435,T15616,627518-40-5,COc1cc2c(cc1OC)-c1[nH]nc(Nc3cccc(F)c3)c1C2,C18H16FN3O2,325.34,3.88,59.17,2,4,4,3,4,0.167,24,1,0,none,0.9685,1.0,0.9811,T15616,Berberine,AMPK / PCSK9 / LDLR,原小檗碱型生物碱，激活 AMPK 并稳定 LDLR mRNA，HepG2 经典降脂阳性对照,0.179,无明确优势骨架命中,,,0.0,0.1795,c1ccc(Nc2n[nH]c3c2Cc2ccccc2-3)cc1,0.5803
1436,TN3176L,1212075-61-0,COc1c(O)cc2c(c1O)C(=O)C[C@H](c1ccc(O)cc1)O2,C16H14O6,302.28,2.52,96.22,3,6,2,2,3,0.188,22,0,0,none,0.9878,0.9709,0.981,TN3176L,Naringenin,PPAR-alpha / SREBP,柑橘黄烷酮，抑制脂肪生成基因并促进脂肪酸氧化,0.63,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.82,O=C1CC(c2ccccc2)Oc2ccccc21,0.9005
1437,T15067,1353016-71-3,O=C(CCC(=O)N1Cc2ccccc2C#Cc2ccccc21)ON1C(=O)CCC1=O,C23H18N2O5,402.41,2.32,83.99,0,5,4,2,4,0.217,30,0,0,none,0.9928,0.9634,0.981,T15067,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.16,无明确优势骨架命中,,,0.0,0.1605,O=C(CCC(=O)N1Cc2ccccc2C#Cc2ccccc21)ON1C(=O)CCC1=O,0.5708
1438,T2565,520-33-2,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,C16H14O6,302.28,2.52,96.22,3,6,2,2,3,0.188,22,0,0,none,0.9878,0.9709,0.981,T2565,Naringenin,PPAR-alpha / SREBP,柑橘黄烷酮，抑制脂肪生成基因并促进脂肪酸氧化,0.689,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.82,O=C1CC(c2ccccc2)Oc2ccccc21,0.9005
1439,TN11275,69097-98-9,COc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)ccc1O,C16H14O6,302.28,2.52,96.22,3,6,2,2,3,0.188,22,0,0,none,0.9878,0.9709,0.981,TN11275,Naringenin,PPAR-alpha / SREBP,柑橘黄烷酮，抑制脂肪生成基因并促进脂肪酸氧化,0.689,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.82,O=C1CC(c2ccccc2)Oc2ccccc21,0.9005
1440,T14091,775294-71-8,Oc1cccc(C(O)CNCc2ccc(-c3ccccc3)cc2)c1,C21H21NO2,319.4,3.88,52.49,3,3,6,3,3,0.143,24,0,0,none,0.9683,1.0,0.981,T14091,Atorvastatin,HMGCR,HMG-CoA 还原酶抑制，降低胆固醇合成并上调 LDLR,0.177,无明确优势骨架命中,,,0.0,0.1772,c1ccc(CCNCc2ccc(-c3ccccc3)cc2)cc1,0.5791
1441,TN1002,118024-26-3,COc1cc(O)c2c(c1)O[C@H](c1cc(O)cc(O)c1)CC2=O,C16H14O6,302.28,2.52,96.22,3,6,2,2,3,0.188,22,0,0,none,0.9878,0.9709,0.981,TN1002,Naringenin,PPAR-alpha / SREBP,柑橘黄烷酮，抑制脂肪生成基因并促进脂肪酸氧化,0.6,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.82,O=C1CC(c2ccccc2)Oc2ccccc21,0.9005
1442,TN1740,446-71-9,COc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)ccc1O,C16H14O6,302.28,2.52,96.22,3,6,2,2,3,0.188,22,0,0,none,0.9878,0.9709,0.981,TN1740,Naringenin,PPAR-alpha / SREBP,柑橘黄烷酮，抑制脂肪生成基因并促进脂肪酸氧化,0.689,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.82,O=C1CC(c2ccccc2)Oc2ccccc21,0.9005
1443,T12504,1228439-71-1,CC(=O)N1CCCC1(Cc1ccc(S(C)(=O)=O)cc1)C(=O)OCc1ccccc1,C22H25NO5S,415.51,2.76,80.75,0,5,6,2,3,0.364,29,0,0,none,1.0,0.9525,0.981,T12504,Lanifibranor,PPAR pan (alpha/delta/gamma),泛 PPAR 激动，促进 beta-氧化、抑制脂肪生成与炎症纤维化,0.24,无明确优势骨架命中,,,0.0,0.24,O=C(OCc1ccccc1)C1(Cc2ccccc2)CCCN1,0.6105
1444,TN1584,26067-60-7,COc1cc2c(cc1OC)C1=Cc3ccc(OC)c(OC)c3CN1CC2,C21H23NO4,353.42,3.59,40.16,0,5,4,2,4,0.333,26,0,0,none,0.9683,1.0,0.981,TN1584,Trimetazidine,3-KAT (长链硫解酶),部分脂肪酸氧化抑制剂，代谢调节剂,0.286,无明确优势骨架命中,,,0.0,0.2857,C1=C2c3ccccc3CCN2Cc2ccccc21,0.6334
1445,T4446,119168-77-3,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,C18H24ClN3O,333.86,3.86,46.92,1,2,4,2,2,0.444,23,1,0,none,0.9682,1.0,0.9809,T4446,Bezafibrate,PPAR pan,泛 PPAR 弱激动剂，降低血浆与肝内甘油三酯,0.273,无明确优势骨架命中,,,0.0,0.2727,O=C(NCc1ccccc1)c1ccn[nH]1,0.6268
1446,T67560,29022-11-5,O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21,C17H15NO4,297.31,2.61,75.63,2,3,4,2,3,0.176,22,0,0,none,1.0,0.9522,0.9809,T67560,Salicylate,"AMPK (direct, beta1)",直接结合 AMPK beta1 变构位点，抑制脂肪生成,0.214,无明确优势骨架命中,,,0.0,0.2143,c1ccc2c(c1)Cc1ccccc1-2,0.5976
1447,T1410,56211-40-6,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,C16H20N4O3S,348.43,2.53,100.19,3,5,5,2,2,0.25,24,0,0,none,0.9681,1.0,0.9809,T1410,Nicotinic acid (Niacin),HCAR2 / DGAT2,抑制脂肪组织脂解并弱抑制 DGAT2，减少肝内 VLDL 底物供应,0.214,无明确优势骨架命中,,,0.0,0.2143,c1ccc(Nc2ccncc2)cc1,0.5976
1448,T9005,877969-69-2,CC(NC(=O)c1n[nH]c2ccccc12)c1ccc(F)c(F)c1,C16H13F2N3O,301.3,3.33,57.78,2,2,3,3,3,0.125,22,2,0,none,1.0,0.9522,0.9809,T9005,Fluvastatin,HMGCR,全合成 HMGCR 抑制剂,0.19,无明确优势骨架命中,,,0.0,0.1899,O=C(NCc1ccccc1)c1n[nH]c2ccccc12,0.5854
1449,T4443,2288709-96-4,CNC(=O)c1ccc(-c2cnc3cnc(-c4ccccc4)cn23)cc1,C20H16N4O,328.38,3.42,59.29,1,3,3,4,4,0.05,25,0,0,none,0.9705,0.9964,0.9809,T4443,Nicotinic acid (Niacin),HCAR2 / DGAT2,抑制脂肪组织脂解并弱抑制 DGAT2，减少肝内 VLDL 底物供应,0.212,无明确优势骨架命中,,,0.0,0.2115,c1ccc(-c2cn3c(-c4ccccc4)cnc3cn2)cc1,0.5962
1450,T7867,76674-21-0,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,C16H13F2N3O,301.3,2.49,50.94,1,3,4,3,3,0.125,22,2,0,none,1.0,0.9522,0.9809,T7867,Atorvastatin,HMGCR,HMG-CoA 还原酶抑制，降低胆固醇合成并上调 LDLR,0.171,无明确优势骨架命中,,,0.0,0.1707,c1ccc(C(Cn2cncn2)c2ccccc2)cc1,0.5758
1451,T28383,1322001-35-3,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,C21H28N2O2S,372.53,3.88,49.41,1,3,7,2,3,0.429,26,0,0,none,0.968,1.0,0.9808,T28383,Lanifibranor,PPAR pan (alpha/delta/gamma),泛 PPAR 激动，促进 beta-氧化、抑制脂肪生成与炎症纤维化,0.225,无明确优势骨架命中,,,0.0,0.2254,O=S(=O)(c1ccccc1-c1ccccc1)N1CCCC1,0.6031
1452,T2687,73590-85-9,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,C17H19N3O2S,329.43,3.88,60.03,1,5,5,3,3,0.294,23,0,0,none,0.968,1.0,0.9808,T2687,GW501516,PPAR-delta,PPAR-delta 选择性激动，提升肝与骨骼肌脂肪酸氧化,0.176,无明确优势骨架命中,,,0.0,0.1765,c1ccc(CSc2nc3ccccc3[nH]2)nc1,0.5786
1453,T41230,913534-05-1,O=C(NC1CCCCC1)c1cn(CCN2CCOCC2)c2cc(Cl)ccc2c1=O,C22H28ClN3O3,417.94,3.05,63.57,1,4,5,2,4,0.545,29,1,0,none,1.0,0.9519,0.9808,T41230,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.256,无明确优势骨架命中,,,0.0,0.2556,O=C(NC1CCCCC1)c1cn(CCN2CCOCC2)c2ccccc2c1=O,0.6182
1454,T39476,2071683-99-1,CCOC(=O)[C@@H](Cc1cn(C)c2ccccc12)NC(=O)[C@@H](N)CC(C)C,C20H29N3O3,359.47,2.14,86.35,2,4,8,2,2,0.5,26,0,0,none,0.968,1.0,0.9808,T39476,Fluvastatin,HMGCR,全合成 HMGCR 抑制剂,0.217,无明确优势骨架命中,,,0.0,0.2169,c1ccc2[nH]ccc2c1,0.5988
1455,T22245,200815-49-2,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,C19H24N2O4,344.41,2.22,90.82,4,5,9,2,2,0.316,25,0,0,none,0.9679,1.0,0.9808,T22245;T6505,Bezafibrate,PPAR pan,泛 PPAR 弱激动剂，降低血浆与肝内甘油三酯,0.171,无明确优势骨架命中,,,0.0,0.1711,c1ccc(CCNCCc2ccccc2)cc1,0.576
1456,T27020L,120635-77-0,Cc1nccn1C[C@@H]1CCc2c(c3cccc4c3n2CCC4)C1=O,C20H21N3O,319.41,3.54,39.82,0,2,2,3,5,0.4,24,0,0,none,0.9679,1.0,0.9807,T27020L,Rosiglitazone,PPAR-gamma,TZD 类 PPAR-gamma 全激动剂，改善胰岛素抵抗与肝内脂肪蓄积,0.161,无明确优势骨架命中,,,0.0,0.1609,O=C1c2c(n3c4c(cccc24)CCC3)CCC1Cn1ccnc1,0.5708
1457,T201799,3050683-29-6,Cn1ccc(Cc2ccc(-c3cccc(C4CCC(=O)NC4=O)c3Cl)cc2)n1,C22H20ClN3O2,393.87,3.85,63.99,1,3,4,3,4,0.227,28,1,0,none,0.973,0.9922,0.9807,T201799,Telmisartan,PPAR-gamma partial / AT1R,AT1 受体拮抗兼 PPAR-gamma 部分激动，文献报道减轻肝细胞脂肪变,0.188,无明确优势骨架命中,,,0.0,0.1875,O=C1CCC(c2cccc(-c3ccc(Cc4cc[nH]n4)cc3)c2)C(=O)N1,0.5841
1458,T10162,120635-47-4,Cc1nccn1CC1CCc2c(c3cccc4c3n2CCC4)C1=O,C20H21N3O,319.41,3.54,39.82,0,2,2,3,5,0.4,24,0,0,none,0.9679,1.0,0.9807,T10162,Rosiglitazone,PPAR-gamma,TZD 类 PPAR-gamma 全激动剂，改善胰岛素抵抗与肝内脂肪蓄积,0.161,无明确优势骨架命中,,,0.0,0.1609,O=C1c2c(n3c4c(cccc24)CCC3)CCC1Cn1ccnc1,0.5708
1459,T69611,2488764-06-1,COc1ccc(OC[C@H]2c3cccn3CC(=O)N2Cc2cccc(F)c2)cc1,C22H21FN2O3,380.42,3.8,43.7,0,3,6,3,4,0.227,28,1,0,none,0.9679,1.0,0.9807,T69611,Rosiglitazone,PPAR-gamma,TZD 类 PPAR-gamma 全激动剂，改善胰岛素抵抗与肝内脂肪蓄积,0.19,无明确优势骨架命中,,,0.0,0.1905,O=C1Cn2cccc2C(COc2ccccc2)N1Cc1ccccc1,0.5856
1460,T27020,120635-74-7,Cc1nccn1C[C@H]1CCc2c(c3cccc4c3n2CCC4)C1=O,C20H21N3O,319.41,3.54,39.82,0,2,2,3,5,0.4,24,0,0,none,0.9679,1.0,0.9807,T27020,Rosiglitazone,PPAR-gamma,TZD 类 PPAR-gamma 全激动剂，改善胰岛素抵抗与肝内脂肪蓄积,0.161,无明确优势骨架命中,,,0.0,0.1609,O=C1c2c(n3c4c(cccc24)CCC3)CCC1Cn1ccnc1,0.5708
1461,T3185,575474-82-7,Oc1cccc(Nc2ncc(F)c(Nc3cccc(O)c3)n2)c1,C16H13FN4O2,312.3,3.51,90.3,4,6,4,3,3,0.0,23,1,0,none,0.9999,0.9519,0.9807,T3185,Nicotinic acid (Niacin),HCAR2 / DGAT2,抑制脂肪组织脂解并弱抑制 DGAT2，减少肝内 VLDL 底物供应,0.17,无明确优势骨架命中,,,0.0,0.1702,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,0.5754
1462,T13273,2168525-92-4,C[C@](O)(Cn1cc(F)cn1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C15H12F4N4O2,356.28,2.3,90.94,2,4,4,2,2,0.267,25,4,0,none,0.991,0.9653,0.9807,T13273,Ervogastat (PF-06865571),DGAT2,口服 DGAT2 抑制剂，降低肝内甘油三酯合成与 VLDL 分泌,0.19,无明确优势骨架命中,,,0.0,0.1905,O=C(CCn1cccn1)Nc1ccccc1,0.5856
1463,T64390,64700-56-7,CCCCOCCOC(=O)COc1nc(Cl)c(Cl)cc1Cl,C13H16Cl3NO4,356.63,3.78,57.65,0,5,9,1,1,0.538,21,3,0,none,0.9677,1.0,0.9806,T64390,Etomoxir,CPT1a (抑制剂/阴性对照),CPT1 不可逆抑制剂，作为脂肪酸氧化通路机制阴性对照,0.302,无明确优势骨架命中,,,0.0,0.3016,c1ccncc1,0.6411
1464,TQ0311,844903-58-8,Cc1ccc2c(N3CCN(CCc4cccc(N5CCNC5=O)c4)CC3)cccc2n1,C25H29N5O,415.54,3.44,51.71,1,4,5,3,5,0.36,31,0,0,none,1.0,0.9514,0.9806,TQ0311,Telmisartan,PPAR-gamma partial / AT1R,AT1 受体拮抗兼 PPAR-gamma 部分激动，文献报道减轻肝细胞脂肪变,0.186,无明确优势骨架命中,,,0.0,0.1856,O=C1NCCN1c1cccc(CCN2CCN(c3cccc4ncccc34)CC2)c1,0.5831
1465,T14322,704888-90-4,CC(C)ON(CC(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,C17H20N2O5S,364.42,2.19,95.94,2,5,7,2,2,0.235,25,0,0,none,0.9677,1.0,0.9806,T14322,Atorvastatin,HMGCR,HMG-CoA 还原酶抑制，降低胆固醇合成并上调 LDLR,0.228,无明确优势骨架命中,,,0.0,0.2278,c1ccc(-c2ccccc2)cc1,0.6042
1466,T60133,,Cc1ccc(N2CCOCC2)cc1-c1cc(Oc2ccc(C#N)cc2)[nH]n1,C21H20N4O2,360.42,3.89,74.17,1,5,4,3,4,0.238,27,0,0,none,0.9677,1.0,0.9806,T60133,Resmetirom (MGL-3196),THR-beta,肝脏选择性甲状腺激素受体 beta 激动；上调 CPT1A/线粒体 beta-氧化与脂噬，降低肝内甘油三酯,0.2,无明确优势骨架命中,,,0.0,0.2,c1ccc(Oc2cc(-c3cccc(N4CCOCC4)c3)n[nH]2)cc1,0.5903
1467,T23601,1042735-18-1,Cc1ccc(Nc2nc(N)c(C(=O)c3ccc(C#N)cc3)s2)cc1,C18H14N4OS,334.4,3.88,91.8,2,6,4,3,3,0.056,24,0,0,none,0.9676,1.0,0.9806,T23601,Fenofibric acid,PPAR-alpha,激活 PPAR-alpha 上调 CPT1/ACOX1，增强线粒体与过氧化物酶体脂肪酸氧化,0.175,无明确优势骨架命中,,,0.0,0.1746,O=C(c1ccccc1)c1cnc(Nc2ccccc2)s1,0.5776
1468,T28904,891020-54-5,CCS(=O)(=O)c1oc(-c2ccc(F)cc2)nc1S(=O)(=O)c1ccccc1,C17H14FNO5S2,395.43,3.11,94.31,0,6,5,3,3,0.118,26,1,0,none,0.9941,0.9602,0.9806,T28904,Rosuvastatin,HMGCR,亲水性强效 HMGCR 抑制剂，肝选择性摄取(OATP1B1),0.228,无明确优势骨架命中,,,0.0,0.2278,O=S(=O)(c1ccccc1)c1coc(-c2ccccc2)n1,0.6042
1469,T68020,107000-34-0,C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4Cc5nn(S(C)(=O)=O)cc5C[C@]4(C)[C@H]3CC[C@@]21C,C23H32N2O3S,416.59,3.01,72.19,1,4,1,1,5,0.783,29,0,0,none,0.9959,0.9573,0.9805,T68020,Chenodeoxycholic acid,FXR,内源性 FXR 配体，调控胆汁酸稳态并抑制肝脏脂肪生成,0.146,无明确优势骨架命中,,,0.0,0.1461,c1[nH]nc2c1CC1C(CCC3C4CCCC4CCC13)C2,0.5633
1470,T6963,98769-84-7,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,C19H23NO3,313.4,3.19,39.72,1,4,6,2,3,0.368,23,0,0,none,0.9676,1.0,0.9805,T6963,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.182,无明确优势骨架命中,,,0.0,0.1818,c1ccc(OC(c2ccccc2)C2CNCCO2)cc1,0.5812
1471,T23285,286369-38-8,COc1ccc2cccc(N3CCN(CCNC(=O)c4ccc(F)cc4)CC3)c2c1,C24H26FN3O2,407.49,3.54,44.81,1,4,6,3,4,0.292,30,1,0,none,0.9911,0.9645,0.9805,T23285,Bezafibrate,PPAR pan,泛 PPAR 弱激动剂，降低血浆与肝内甘油三酯,0.267,无明确优势骨架命中,,,0.0,0.2667,O=C(NCCN1CCN(c2cccc3ccccc23)CC1)c1ccccc1,0.6236
1472,T8366,1354707-41-7,O=C(CC(C(=O)O)c1c[nH]c2ccccc12)c1ccc(F)cc1F,C18H13F2NO3,329.3,3.89,70.16,2,2,5,3,3,0.111,24,2,0,none,0.9675,1.0,0.9805,T8366,Fluvastatin,HMGCR,全合成 HMGCR 抑制剂,0.234,无明确优势骨架命中,,,0.0,0.2338,O=C(CCc1c[nH]c2ccccc12)c1ccccc1,0.6072
1473,T8708,61869-08-7,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,C19H20FNO3,329.37,3.33,39.72,1,4,4,2,4,0.368,24,1,0,none,0.9676,1.0,0.9805,T1636;T1636L;T8708,Berberine,AMPK / PCSK9 / LDLR,原小檗碱型生物碱，激活 AMPK 并稳定 LDLR mRNA，HepG2 经典降脂阳性对照,0.179,无明确优势骨架命中,,,0.0,0.1795,c1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,0.58
1474,T3735,36062-04-1,COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,C21H24O6,372.42,3.21,93.06,2,6,10,2,2,0.333,27,0,0,none,0.9675,1.0,0.9805,T3735,Bezafibrate,PPAR pan,泛 PPAR 弱激动剂，降低血浆与肝内甘油三酯,0.22,无明确优势骨架命中,,,0.0,0.2203,O=C(CCc1ccccc1)CC(=O)CCc1ccccc1,0.6004
1475,T1175,4093-35-0,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,C14H22BrN3O2,344.25,2.11,67.59,2,4,7,1,1,0.5,20,1,0,none,0.9673,1.0,0.9804,T1175,Bezafibrate,PPAR pan,泛 PPAR 弱激动剂，降低血浆与肝内甘油三酯,0.188,无明确优势骨架命中,,,0.0,0.1884,c1ccccc1,0.5844
1476,T68143,155321-96-3,C[C@H](COc1ccccc1)N[C@H](CO)[C@@H](O)c1ccccc1,C18H23NO3,301.39,2.14,61.72,3,4,8,2,2,0.333,22,0,0,none,0.9674,1.0,0.9804,T68143,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.217,无明确优势骨架命中,,,0.0,0.2174,c1ccc(CCNCCOc2ccccc2)cc1,0.5989
1477,T28258,142494-13-1,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1,C18H25F3N4O,370.42,2.63,39.68,0,4,6,1,3,0.667,26,3,0,none,0.9673,1.0,0.9804,T28258;T28258L,Ervogastat (PF-06865571),DGAT2,口服 DGAT2 抑制剂，降低肝内甘油三酯合成与 VLDL 分泌,0.205,无明确优势骨架命中,,,0.0,0.2051,O=C1CCCN1CCCCN1CCN(c2ccccn2)CC1,0.5928
1478,TN1297,80681-42-1,COc1c2c(cc3oc(C)cc(=O)c13)O[C@H](C(C)(C)O)C2,C16H18O5,290.31,2.18,68.9,1,5,2,2,3,0.438,21,0,0,none,0.9781,0.9837,0.9803,TN1297,Naringenin,PPAR-alpha / SREBP,柑橘黄烷酮，抑制脂肪生成基因并促进脂肪酸氧化,0.188,无明确优势骨架命中,,,0.0,0.1875,O=c1ccoc2cc3c(cc12)CCO3,0.5839
1479,TN1582,60657-93-4,COC(=O)c1c2c(c3ccccc3c1O)OC(C)(C)CC2,C17H18O4,286.33,3.44,55.76,1,4,1,2,3,0.353,21,0,0,none,0.9959,0.9569,0.9803,TN1582,Ciprofibrate,PPAR-alpha,长效贝特类，诱导过氧化物酶体增殖与脂肪酸 beta-氧化,0.197,无明确优势骨架命中,,,0.0,0.1967,c1ccc2c3c(ccc2c1)CCCO3,0.5885
1480,T30098,189681-71-8,O=C1Cc2c(ccc3c2O[C@@H](CNCc2ccccc2)CO3)N1,C18H18N2O3,310.35,2.11,59.59,2,4,4,2,4,0.278,23,0,0,none,0.9672,1.0,0.9803,T30098,Rosiglitazone,PPAR-gamma,TZD 类 PPAR-gamma 全激动剂，改善胰岛素抵抗与肝内脂肪蓄积,0.145,无明确优势骨架命中,,,0.0,0.1446,O=C1Cc2c(ccc3c2OC(CNCc2ccccc2)CO3)N1,0.5624
